ISBN,trove_id,title,author,issued,type,relevance_score,relevance_value,identifier_type,identifier_linktype,identifier_value
9780190303488,199659469,Australian integrated school Oxford dictionary & thesaurus /  edited by Mark Gwynn ; grammar and reference guide written by Margaret McKenzie and Susan Leslie,"McKenzie, Margaret,  1944-",2015,Book,8.746767044067383,very relevant,,,
9781741353389,200331411,Think mentals. Maths strategies and practice / Chris Linthorne ; Sandra Williams ; Peter Williams,"Linthorne, Chris",2015-2018,"Book/Illustrated, Book",9.114736557006836,very relevant,,,
9781741353389,193611756,Think Mentals Student Book 6 : Maths Strategies and Practice,"Linthorne, Chris",2015-2019,"Book/Illustrated, Book",8.548882484436035,very relevant,,,
9781741353389,193611759,Think Mentals Student Book 3 : Maths Strategies and Practice,"Linthorne, Chris",2015,"Book/Illustrated, Book",7.633111000061035,very relevant,,,
9780725334628,9530380,New improved modern cursive handwriting /  Gail and Paul Nightingale,"Nightingale, Gail",2004,"Book/Illustrated, Book",9.763036727905273,very relevant,,,
9781925487466,235215797,My wellbeing journal. Lauren O'Brien,"O'Brien, Lauren",2018,"Book/Illustrated, Book",7.070510387420654,very relevant,,,
9781925487466,249799219,My Wellbeing Journal : Primary Years 3-4 / Lauren O'Brien,"O'Brien, Lauren",2018,"Book/Illustrated, Book",6.0044403076171875,very relevant,,,
9780190310776,223338775,Oxford atlas+ for Australian schools F-2 / Oxford University Press,"Mancini, Robert",2018,"Book, Book/Illustrated, Map, Map/Atlas",11.87971305847168,very relevant,,,
9780190310776,253961962,Oxford australian curriculum atlas years 3-4 [3rd. edition],Oxford,2017,Book,6.3984904289245605,very relevant,,,
9780190310776,228392239,Oxford Atlas for Australian Schools Years 3-4,"Atlas, Oxford",2013-2017,Book,6.0044403076171875,very relevant,,,
